method,method_label,map,scenario,agents,success_rate,n_cases
ir,IR-TAPF,warehouse-10-20-10-2-1,060,55,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,060,60,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,15,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,20,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,25,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,30,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,35,0.95,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,40,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,45,0.85,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,50,0.9,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,55,0.9,20
ir,IR-TAPF,warehouse-10-20-10-2-1,100,60,0.8,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,10,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,20,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,30,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,40,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,50,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,60,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,70,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,80,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,90,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,100,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,110,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,120,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,130,1.0,20
ir,IR-TAPF,warehouse-10-20-10-2-1,G,140,1.0,20
